το μοναχοπαίδι		                    : only child
ο πεθερός		                        : father-in-law	= тесть / свёкр
η πεθερά		                        : mother-in-law	= тёща / свекровь
ο γαμπρός		                        : son-in-law (the husband of a daughter) = зять
η νύφη			                        : daughter-in-law (the wife of a son) = невестка
τα ετεροθαλή αδέλφια	                : stepsiblings (stepbrother / stepsister)

ο γάμος		                            : marriage / wedding
το διαζύγιο		                        : divorce
πρώην			                        : adj. ex = бывший/ая
ο/η πρώην σύζυγός                       : ex-partner (m.+f.)

γεννιέμαι 	                            : Γ — to be born
γεννήθηκα                               : I was born
γεννήθηκε	                            : he/she/it was born
γεννάω / ώ 	                            : Β1 — give birth
ερωτεύομαι 	                            : Γ — to fall in love with
αγαπάω	                                : Β1 — love
μισώ	                                : Β2 — hate
παντρεύομαι	                            : Γ — get married
χωρίζω	                                : Α — separate, split
παίρνω διαζύγιο                         : get divorce
γερνάω / ώ 	                            : Β1 — get old
πεθαίνω	                                : Α — die
πέθανε	                                : he/she/it died

μεγάλη ηλικία / γεράματα	            : old age = старость
κάνω παιδί			                    : expect
οι μακρινοί / κοντινοί συγγενείς	    : far / close relatives
ήθη και έθιμα (sing.ήθος, sing.έθιμο)	: cultural behaviour & traditions = манеры и обычаи
