# εύκολος - η - ο                     : easy
# δύσκολος - η - ο                    : difficult
κύριος - α - ο                      : main → κυρίως = mainly
επιπλέον                            : adj. extra
ξεχωριστός - ή - ό                  : separate
αγαπημένος - η - ο                  : favourite
σημαντικός - ή - ό                  : important, significant
ασήμαντος - η - ο                   : unimportant
χρήσιμος - η - ο                    : useful
άχρηστος - η - ο                    : useless
ωφέλιμος - η - ο                    : beneficial, useful
ανώφελος - η - ο                    : wasted, useless
επικίνδυνος - η - ο                 : dangerous
ακίνδυνος - η - ο                   : safe, not dangerous
υγιεινός - ή - ό                    : healthy, sanitary
παράνομος - η - ο                   : illegal
άδικος - η - ο                      : unfair
# ακριβός - ή - ό                     : expensive
φτηνός / φθηνός - ή - ό             : cheap
διαθέσιμος - η - ο                  : available
περιορισμένος - η - ο               : limited
απεριόριστος - η - ο                : unlimited
σίγουρος - η - ο                    : certain
βέβαιος - η / α - ο                 : sure, certain
πραγματικός - ή - ό                 : real
άκυρος - η - ο                      : invalid
κατάλληλος - η - ο                  : appropriate, suitable / подходящий
άσχετος - η - ο                     : irrelevant, unrelated
απαραίτητος - η - ο                 : needed, necessary / необходимый
υποχρεωτικός - ή - ό                : obligatory, compulsory
βασικός - ή - ό                     : basic
# απλός - ή - ό                       : simple
κανονικός - ή - ό                   : usual, regular
ιδιαίτερος - η - ο                  : special / particular → ιδιαίτερα = especially
μοναδικός - ή - ό                   : unique
συγκεκριμένος - η - ο               : specific
ίδιος - α - ο                       : same
διαφορετικός - ή - ό                : different / другой, не такой как
διάφορος - η - ο                    : different / разный, различный
αντίθετος - η - ο                   : opposite

λειτουργικός - ή - ό                : functional
δημιουργικός - ή - ό                : creative
έτοιμος - η - ο                     : ready, prepared
πλήρως εξοπλισμένος - η - ο         : fully equipped
ειδικευμένος - η - ο                : specialized / квалифицированный
ανθεκτικός - ή - ό                  : resilient стойкий, tough выносливый
