το περιβάλλον             : environment, окруж.среда
η ανακύκλωση              : recycling => κάνω ανακύκλωση

ο πλανήτης                : planet
η γη [no plural!]         : world, earth, land
το οξυγόνο                : oxygen
ο ουρανός                 : sky / (astronomy) Uranus
το ποτάμι                 : river

η σακούλα                 : bag (made of plastic or paper)
ο κάδος                   : bin
η βρομιά                  : dirt
ο λεκές [plur. λεκέδες]   : stain
η σόδα                    : soda
ο βαθμός                  : degree (temperature)
η θήκη                    : case (container)
το τζάμι                  : window glass

το υλικό                  : material
το γυαλί                  : glass
το χαρτί                  : paper
το πλαστικό               : plastic

το ρεύμα                  : electricity

ανακυκλώνω                : recycle (group Α1)
ξαναχρησιμοποιώ           : use again (group Β2)
επαναχρησιμοποιώ          : reuse (group Β2)
ξοδεύω                    : spend, consume (group Α1)
σώζω                      : save (group Α1)
χρειάζομαι                : need, require (group Γ)
πετάω                     : fly / throw / throw away (group Β1)
ανεβάζω                   : take up, lift (group Α1)
κλειδώνω                  : lock (door, etc) (group Α1)

χαρίζω                    : give as a gift (group Α1)
φροντίζω                  : take care of (group Α1)
ανακατεύω                 : mix (group Α1)
φτάνω                     : to arrive, come / прибывать + reach (group A1)

ολόκληρος - η - ο         : whole, entire
χλιαρός - ή - ό           : warm => χλιαρό νερό
