πολιτιστικές εκδηλώσεις                     : cultural events

η εκδήλωση                                  : event
η συναυλία / το ρεσιτάλ                     : concert
το φεστιβάλ χορού                           : dance festival
το φεστιβάλ φαγητού                         : food festival
το φεστιβάλ κρασιού                         : wine festival
η έκθεση ζωγραφικής                         : art exhibition
ο διαγωνισμός ζωγραφικής                    : competition / конкурс живописи
ο αγώνας                                    : game, match
οι ολυμπιακοί αγώνες                        : the Olympic Games

η ποίηση                                    : poetry
ο χορός                                     : dance

η διασκέδαση                                : amusement, entertainment
η δραστηριότητα                             : activity

η παράσταση                                 : show, play
μουσική παράσταση                           : music show
θεατρική παράσταση                          : theatre play
χορευτική παράσταση                         : dance show

πού ανεβαίνει η εκδήλωση;                   : Где идёт/пройдёт...?
ανεβαίνω                                    : like "take place"
στο κάστρο                                  : in the castle
# στο θέατρο                                  : at the theatre
στο αρχαίο θέατρο                           : at the ancient theatre
στο γήπεδο                                  : at the stadium
# στον κινηματογράφο                          : at the cinema
στο μέγαρο μουσικής                         : at the concert hall
# στο μπαρ                                    : in the bar

τι ώρα αρχίζει η παράσταση;                 : what time does the show start?
τι ώρα τελειώνει η παράσταση;               : what time does the show finish?
πόσο διαρκεί η παράσταση;                   : how much time does the show last?
διαρκώ                                      : last / длиться (group B2)
πόση είναι η διάρκεια της παράστασης;       : what is the duration of the show?
η παράσταση θα κρατήσει 3 ώρες              : шоу будет продолжаться/длиться 3 часа => κρατάω : hold & here last
πού ανεβαίνει η παράσταση;                  : Где идёт/пройдёт шоу? => ανεβαίνω : like "take place"
η τραγουδίστρια δίνει μια συναυλία          : букв. "певица даёт концерт"
η τραγουδίστρια θα δώσει μια συναυλία       : букв. "певица даст концерт"

η διάρκεια                                  : duration
το διάλειμμα                                : break / pause of play/concert
η προβολή                                   : (film) projection, screening / показ

η αφίσα                                     : poster, афиша
το άρθρο                                    : (journalism) article
η διαφήμιση                                 : publicity / публикация

η πρεμιέρα                                  : premiere, премьера
το πρόγραμμα                                : schedule / program (of events) / calendar
το έργο                                     : work, project (film, play, etc; art work, painting, etc)

το εισιτήριο                                : ticket
*η ελεύθερη είσοδος                         : free entrance
δωρεάν                                      : free of charge

περιλαμβάνει                                : /it/ includes (group A)

ο τραγουδιστής / η τραγουδίστρια            : singer
ο/η μουσικός                                : musician
ο συνθέτης / η συνθέτιδα                    : composer
ο/η ηθοποιός                                : actor / actress
ο χορευτής / η χορεύτρια                    : dancer
ο/η ζωγράφος                                : artist, painter
ο καλλιτέχνης / η καλλιτέχνιδα              : artist
ο/η συγγραφέας                              : writer, author
ο σκηνοθέτης / η σκηνοθέτρια                : theater, television, film director

σπουδαίος - α - ο                           : great, remarkable
σημαντικός - ή - ό                          : important, significant
σύγχρονος - η - ο                           : contemporary, modern
πολιτιστικός - ή - ό                        : cultural

κερδίζω                                     : win (group A)
νικάω / ώ                                   : win (group Β1)
o νικητής / η νικήτρια                      : winner
χάνω                                        : lose (group A)

η επιτυχία                                  : success or hit (about a song)

η ευκαιρία                                  : occasion, opportunity, chance
μην /το/ χάσετε!                            : Don't miss /it/!

το γλέντι                                   : party, carousal, celebration
η γιορτή                                    : celebration, holiday
